,gbifID,format,identifier,references
12263,3705631814,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/180906011/original.jpg,https://www.inaturalist.org/photos/180906011
12265,3705659489,image/jpeg,https://static.inaturalist.org/photos/175716849/original.jpeg,https://www.inaturalist.org/photos/175716849
12266,3705659489,image/jpeg,https://static.inaturalist.org/photos/175716848/original.jpeg,https://www.inaturalist.org/photos/175716848
12267,3705698474,image/jpeg,https://static.inaturalist.org/photos/174306164/original.jpeg,https://www.inaturalist.org/photos/174306164
12268,3705698474,image/jpeg,https://static.inaturalist.org/photos/174306182/original.jpeg,https://www.inaturalist.org/photos/174306182
12269,3705706494,image/jpeg,https://static.inaturalist.org/photos/180589464/original.jpeg,https://www.inaturalist.org/photos/180589464
12270,3705741584,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/180773038/original.jpeg,https://www.inaturalist.org/photos/180773038
12271,3705742644,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/180922072/original.jpg,https://www.inaturalist.org/photos/180922072
12272,3705754469,image/jpeg,https://static.inaturalist.org/photos/176025456/original.jpeg,https://www.inaturalist.org/photos/176025456
12273,3705754469,image/jpeg,https://static.inaturalist.org/photos/176025448/original.jpeg,https://www.inaturalist.org/photos/176025448
12274,3705754544,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/180665351/original.jpeg,https://www.inaturalist.org/photos/180665351
12275,3705788239,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181291664/original.jpeg,https://www.inaturalist.org/photos/181291664
12276,3711814324,image/jpeg,https://www.artsobservasjoner.no/MediaLibrary/2022/3/f6ad159f-3253-40fd-b421-84d7677b2a86_image.jpg,
12277,3712400019,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/182092773/original.jpg,https://www.inaturalist.org/photos/182092773
12278,3712411549,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/181538627/original.jpeg,https://www.inaturalist.org/photos/181538627
12279,3712412359,image/jpeg,https://static.inaturalist.org/photos/117981140/original.jpeg,https://www.inaturalist.org/photos/117981140
